split,old_stem,new_stem,image_ext
train,-0378D390-5AE2-4D09-84BB-387E850F5E5A-png_jpg.rf.8b9fce566dd4dc97b4c6d732f32b3c63,IMG_00001,.jpg
train,-0378D390-5AE2-4D09-84BB-387E850F5E5A-png_jpg.rf.f9b923aa8b113c4a9a072ee31f35b8b7,IMG_00002,.jpg
train,-046E9840-F025-4749-B3AB-19402B34E739-png_jpg.rf.e488d2ecd2cc461a37301b0c1f9f69ab,IMG_00003,.jpg
train,-0471C451-8CA5-4CEA-8EFD-3B0F147BF4B7-png_jpg.rf.16cc3c54e44f806f9bc97f6efd727875,IMG_00004,.jpg
train,-0585CFA0-7CD6-45D3-B7EB-1A109425F90D-png_jpg.rf.e7c2e760064cd9e90888c14e34865543,IMG_00005,.jpg
train,-0D39FCF1-152A-4C52-A0F2-64670E54DB6D-png_jpg.rf.36a2a942fce655b24b927fe9ebc7f980,IMG_00006,.jpg
train,-0DEDC30B-FD9A-4A41-ABC0-DBEDE7C1C712-png_jpg.rf.304ccff727b9bd6cd2596c7a097d06b2,IMG_00007,.jpg
train,-0DEDC30B-FD9A-4A41-ABC0-DBEDE7C1C712-png_jpg.rf.e1e763104fc289f263b61d06c09727b4,IMG_00008,.jpg
train,-1-_jpg.rf.3ba30d9d6a77cfd96d80f483d2b37023,IMG_00009,.jpg
train,-1-_jpg.rf.62118b35d90ed08e3b42b0eec8a84d5b,IMG_00010,.jpg
train,-1058CFB8-55AA-4270-937C-FAB55C49F17A-png_jpg.rf.ee460226d5101fb6512e678a51855dc5,IMG_00011,.jpg
train,-1058CFB8-55AA-4270-937C-FAB55C49F17A-png_jpg.rf.faaecd9737ef5a553830a4b0b0d81b5a,IMG_00012,.jpg
train,-1121F9BD-6C24-47D6-937E-DC2AB1906098-png_jpg.rf.6d9c3feec07d269eaedd5ce49259ff91,IMG_00013,.jpg
train,-1121F9BD-6C24-47D6-937E-DC2AB1906098-png_jpg.rf.92de64c1b0167050063ea823dbb0a3ff,IMG_00014,.jpg
train,-11F0AF93-D3D0-4415-A4A0-B3430EA0886B-png_jpg.rf.91205a1025750bc31aaa64f42cd777a7,IMG_00015,.jpg
