epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,336.422,1.11454,2.60664,1.45569,0.67627,0.59409,0.65182,0.42938,1.21424,2.24296,1.68396,0.00999165,0.00333055,0.00999165,0.00333055,0.00999165,0.00333055,0.00999165,0.00333055
2,490.893,1.14088,1.7063,1.47289,0.59146,0.57126,0.56948,0.37246,1.29098,1.95807,1.69368,0.0197937,0.00659791,0.0197937,0.00659791,0.0197937,0.00659791,0.0197937,0.00659791
3,626.515,1.22198,1.69929,1.53929,0.56647,0.5098,0.52568,0.30232,1.45248,2.04412,1.88561,0.0293978,0.00979927,0.0293978,0.00979927,0.0293978,0.00979927,0.0293978,0.00979927
4,769.555,1.24962,1.64916,1.554,0.70417,0.59491,0.65479,0.42706,1.27671,1.48283,1.69527,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,909.286,1.18198,1.4599,1.50007,0.75338,0.64439,0.73294,0.4942,1.1915,1.28713,1.614,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1051.08,1.13677,1.33716,1.46156,0.74748,0.68129,0.7359,0.50426,1.18468,1.25854,1.58115,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1192.18,1.10115,1.2526,1.43379,0.77567,0.69316,0.75724,0.53935,1.08401,1.1047,1.50081,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1330.8,1.07448,1.1908,1.41432,0.76124,0.74665,0.80546,0.58049,1.08444,1.03726,1.47343,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1468.79,1.05127,1.13782,1.39946,0.79923,0.7202,0.80252,0.57775,1.07506,1.00596,1.47793,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1598.85,1.03081,1.10755,1.38297,0.81601,0.73712,0.80627,0.58113,1.05118,0.96128,1.45056,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1728.09,1.01709,1.07076,1.3691,0.82721,0.75482,0.82563,0.60335,1.01866,0.92213,1.41971,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1860.79,0.99813,1.0394,1.35687,0.7992,0.76659,0.82774,0.61741,1.00523,0.90395,1.41351,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
